scenario,operation,payload,input_kind,rounds,yjson_median_ns,stdx_json_median_ns,cjfast_json_median_ns,yjson_over_stdx_ratio,yjson_over_cjfast_ratio,yjson_faster_pairs_vs_stdx,yjson_faster_pairs_vs_cjfast,yjson_cv_percent,stdx_json_cv_percent,cjfast_json_cv_percent,yjson_p95_ns,stdx_json_p95_ns,cjfast_json_p95_ns,status
Pretty JSON,decode,Person,string,11,7296.000,98247.111,16619.821,0.071235,0.412072,11,11,5.298016,2.688906,6.497697,7561.303,104108.444,18778.192,noisy
Pretty JSON,encode,Person,string,11,8151.144,84224.000,11007.146,0.095029,0.737982,11,11,3.704417,1.490970,12.968686,8213.095,86699.095,13210.822,noisy
基础对象,decode,Address,bytes,11,1312.636,35286.891,1962.525,0.037569,0.668823,11,11,1.640320,1.339243,0.860267,1358.746,35408.794,1990.624,stable
基础对象,decode,Address,string,11,1240.635,35531.392,2034.732,0.034866,0.606949,11,11,9.017436,0.481152,4.727352,1273.323,35790.222,2209.097,noisy
基础对象,decode,Person,bytes,11,10386.284,87315.782,15448.672,0.115693,0.652935,11,11,11.818054,2.256571,5.066278,12333.058,91653.333,17309.592,noisy
基础对象,decode,Person,string,11,11001.794,86784.000,15631.547,0.127147,0.697912,11,10,27.169000,0.615668,4.034545,15757.581,87833.600,16725.706,noisy
基础对象,encode,Address,bytes,11,1825.579,56029.428,2454.468,0.032769,0.739093,11,11,5.893917,1.020002,17.461499,1983.755,56462.923,3606.729,noisy
基础对象,encode,Address,string,11,1522.827,56320.000,2442.481,0.026933,0.594841,11,11,5.913432,0.386355,9.727726,1624.300,56664.276,3024.782,noisy
基础对象,encode,Person,bytes,11,3791.543,76181.333,10459.083,0.049770,0.365761,11,11,1.288908,2.961610,7.986975,3873.501,80810.667,12139.011,noisy
基础对象,encode,Person,string,11,4194.490,76672.000,10238.107,0.054707,0.413705,11,11,3.229497,0.792577,6.879174,4355.568,77552.000,11764.581,noisy
大 Map,decode,"HashMap<String, Int64>[64]",string,11,200939.462,591360.000,231965.091,0.339914,0.869654,11,11,3.585122,1.718509,3.653946,213184.000,607153.951,249582.521,stable
