round,workload_position,library_position,library,workload,scenario,operation,payload,input_kind,source_case,elapsed_seconds,load1_before,load1_after,report_path,log_path
1,1,1,yjson,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,yjsonStringDecodePrettyPerson,26.066834,36.384,24.578,raw/run-01/workload-01-yjson,logs/run-01-workload-01-yjson.log
1,1,2,stdx_json,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,stdxStringDecodePrettyPerson,2.637716,24.578,22.850,raw/run-01/workload-01-stdx_json,logs/run-01-workload-01-stdx_json.log
1,1,3,cjfast_json,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,cjfastStringDecodePrettyPerson,33.504258,22.850,21.554,raw/run-01/workload-01-cjfast_json,logs/run-01-workload-01-cjfast_json.log
1,2,1,yjson,Pretty JSON | encode | Person | string,Pretty JSON,encode,Person,string,yjsonStringEncodePrettyPerson,2.385505,21.554,20.068,raw/run-01/workload-02-yjson,logs/run-01-workload-02-yjson.log
1,2,2,stdx_json,Pretty JSON | encode | Person | string,Pretty JSON,encode,Person,string,stdxStringEncodePrettyPerson,2.005801,20.068,20.068,raw/run-01/workload-02-stdx_json,logs/run-01-workload-02-stdx_json.log
1,2,3,cjfast_json,Pretty JSON | encode | Person | string,Pretty JSON,encode,Person,string,cjfastStringEncodePrettyPerson,3.027531,20.068,18.621,raw/run-01/workload-02-cjfast_json,logs/run-01-workload-02-cjfast_json.log
1,3,1,yjson,基础对象 | decode | Address | bytes,基础对象,decode,Address,bytes,yjsonBytesDecodeAddress,3.276881,18.621,18.621,raw/run-01/workload-03-yjson,logs/run-01-workload-03-yjson.log
1,3,2,stdx_json,基础对象 | decode | Address | bytes,基础对象,decode,Address,bytes,stdxBytesDecodeAddress,2.312037,18.621,17.530,raw/run-01/workload-03-stdx_json,logs/run-01-workload-03-stdx_json.log
1,3,3,cjfast_json,基础对象 | decode | Address | bytes,基础对象,decode,Address,bytes,cjfastBytesDecodeAddress,2.720650,17.530,17.530,raw/run-01/workload-03-cjfast_json,logs/run-01-workload-03-cjfast_json.log
1,4,1,yjson,基础对象 | decode | Address | string,基础对象,decode,Address,string,yjsonStringDecodeAddress,3.848022,17.530,16.367,raw/run-01/workload-04-yjson,logs/run-01-workload-04-yjson.log
1,4,2,stdx_json,基础对象 | decode | Address | string,基础对象,decode,Address,string,stdxStringDecodeAddress,2.497046,16.367,15.376,raw/run-01/workload-04-stdx_json,logs/run-01-workload-04-stdx_json.log
1,4,3,cjfast_json,基础对象 | decode | Address | string,基础对象,decode,Address,string,cjfastStringDecodeAddress,2.680510,15.376,15.376,raw/run-01/workload-04-cjfast_json,logs/run-01-workload-04-cjfast_json.log
1,5,1,yjson,基础对象 | decode | Person | bytes,基础对象,decode,Person,bytes,yjsonBytesDecodePerson,7.552820,15.376,13.620,raw/run-01/workload-05-yjson,logs/run-01-workload-05-yjson.log
1,5,2,stdx_json,基础对象 | decode | Person | bytes,基础对象,decode,Person,bytes,stdxBytesDecodePerson,3.050657,13.620,13.620,raw/run-01/workload-05-stdx_json,logs/run-01-workload-05-stdx_json.log
1,5,3,cjfast_json,基础对象 | decode | Person | bytes,基础对象,decode,Person,bytes,cjfastBytesDecodePerson,3.238540,13.620,12.609,raw/run-01/workload-05-cjfast_json,logs/run-01-workload-05-cjfast_json.log
1,6,1,yjson,基础对象 | decode | Person | string,基础对象,decode,Person,string,yjsonStringDecodePerson,8.681744,12.609,11.699,raw/run-01/workload-06-yjson,logs/run-01-workload-06-yjson.log
1,6,2,stdx_json,基础对象 | decode | Person | string,基础对象,decode,Person,string,stdxStringDecodePerson,2.779629,11.699,11.699,raw/run-01/workload-06-stdx_json,logs/run-01-workload-06-stdx_json.log
1,6,3,cjfast_json,基础对象 | decode | Person | string,基础对象,decode,Person,string,cjfastStringDecodePerson,3.294074,11.699,10.922,raw/run-01/workload-06-cjfast_json,logs/run-01-workload-06-cjfast_json.log
1,7,1,yjson,基础对象 | encode | Address | bytes,基础对象,encode,Address,bytes,yjsonBytesEncodeAddress,2.824885,10.922,10.848,raw/run-01/workload-07-yjson,logs/run-01-workload-07-yjson.log
1,7,2,stdx_json,基础对象 | encode | Address | bytes,基础对象,encode,Address,bytes,stdxBytesEncodeAddress,2.214650,10.848,10.848,raw/run-01/workload-07-stdx_json,logs/run-01-workload-07-stdx_json.log
1,7,3,cjfast_json,基础对象 | encode | Address | bytes,基础对象,encode,Address,bytes,cjfastBytesEncodeAddress,2.714803,10.848,10.779,raw/run-01/workload-07-cjfast_json,logs/run-01-workload-07-cjfast_json.log
1,8,1,yjson,基础对象 | encode | Address | string,基础对象,encode,Address,string,yjsonStringEncodeAddress,2.892243,10.779,10.779,raw/run-01/workload-08-yjson,logs/run-01-workload-08-yjson.log
1,8,2,stdx_json,基础对象 | encode | Address | string,基础对象,encode,Address,string,stdxStringEncodeAddress,2.296023,10.779,10.717,raw/run-01/workload-08-stdx_json,logs/run-01-workload-08-stdx_json.log
1,8,3,cjfast_json,基础对象 | encode | Address | string,基础对象,encode,Address,string,cjfastStringEncodeAddress,2.828015,10.717,10.717,raw/run-01/workload-08-cjfast_json,logs/run-01-workload-08-cjfast_json.log
1,9,1,yjson,基础对象 | encode | Person | bytes,基础对象,encode,Person,bytes,yjsonBytesEncodePerson,3.147687,10.717,10.099,raw/run-01/workload-09-yjson,logs/run-01-workload-09-yjson.log
1,9,2,stdx_json,基础对象 | encode | Person | bytes,基础对象,encode,Person,bytes,stdxBytesEncodePerson,2.248349,10.099,10.099,raw/run-01/workload-09-stdx_json,logs/run-01-workload-09-stdx_json.log
1,9,3,cjfast_json,基础对象 | encode | Person | bytes,基础对象,encode,Person,bytes,cjfastBytesEncodePerson,2.914300,10.099,9.450,raw/run-01/workload-09-cjfast_json,logs/run-01-workload-09-cjfast_json.log
1,10,1,yjson,基础对象 | encode | Person | string,基础对象,encode,Person,string,yjsonStringEncodePerson,2.780591,9.450,9.450,raw/run-01/workload-10-yjson,logs/run-01-workload-10-yjson.log
1,10,2,stdx_json,基础对象 | encode | Person | string,基础对象,encode,Person,string,stdxStringEncodePerson,2.294657,9.450,8.933,raw/run-01/workload-10-stdx_json,logs/run-01-workload-10-stdx_json.log
1,10,3,cjfast_json,基础对象 | encode | Person | string,基础对象,encode,Person,string,cjfastStringEncodePerson,2.923429,8.933,8.933,raw/run-01/workload-10-cjfast_json,logs/run-01-workload-10-cjfast_json.log
1,11,1,yjson,"大 Map | decode | HashMap<String, Int64>[64] | string",大 Map,decode,"HashMap<String, Int64>[64]",string,yjsonStringDecodeLargeInt64Map,3.659495,8.933,8.297,raw/run-01/workload-11-yjson,logs/run-01-workload-11-yjson.log
1,11,2,stdx_json,"大 Map | decode | HashMap<String, Int64>[64] | string",大 Map,decode,"HashMap<String, Int64>[64]",string,stdxStringDecodeLargeInt64Map,2.822712,8.297,7.793,raw/run-01/workload-11-stdx_json,logs/run-01-workload-11-stdx_json.log
1,11,3,cjfast_json,"大 Map | decode | HashMap<String, Int64>[64] | string",大 Map,decode,"HashMap<String, Int64>[64]",string,cjfastStringDecodeLargeInt64Map,3.492841,7.793,7.793,raw/run-01/workload-11-cjfast_json,logs/run-01-workload-11-cjfast_json.log
1,12,1,yjson,"大 Map | encode | HashMap<String, Int64>[64] | string",大 Map,encode,"HashMap<String, Int64>[64]",string,yjsonStringEncodeLargeInt64Map,3.681056,7.793,7.329,raw/run-01/workload-12-yjson,logs/run-01-workload-12-yjson.log
1,12,2,stdx_json,"大 Map | encode | HashMap<String, Int64>[64] | string",大 Map,encode,"HashMap<String, Int64>[64]",string,stdxStringEncodeLargeInt64Map,2.570928,7.329,6.902,raw/run-01/workload-12-stdx_json,logs/run-01-workload-12-stdx_json.log
1,12,3,cjfast_json,"大 Map | encode | HashMap<String, Int64>[64] | string",大 Map,encode,"HashMap<String, Int64>[64]",string,cjfastStringEncodeLargeInt64Map,3.472115,6.902,6.902,raw/run-01/workload-12-cjfast_json,logs/run-01-workload-12-cjfast_json.log
1,13,1,yjson,大数组 | decode | ArrayList<ProfileRecord>[64] | string,大数组,decode,ArrayList<ProfileRecord>[64],string,yjsonStringDecodeLargeProfileArray,7.300519,6.902,6.549,raw/run-01/workload-13-yjson,logs/run-01-workload-13-yjson.log
1,13,2,stdx_json,大数组 | decode | ArrayList<ProfileRecord>[64] | string,大数组,decode,ArrayList<ProfileRecord>[64],string,stdxStringDecodeLargeProfileArray,2.573092,6.549,6.549,raw/run-01/workload-13-stdx_json,logs/run-01-workload-13-stdx_json.log
1,13,3,cjfast_json,大数组 | decode | ArrayList<ProfileRecord>[64] | string,大数组,decode,ArrayList<ProfileRecord>[64],string,cjfastStringDecodeLargeProfileArray,2.341492,6.549,6.344,raw/run-01/workload-13-cjfast_json,logs/run-01-workload-13-cjfast_json.log
1,14,1,yjson,大数组 | encode | ArrayList<ProfileRecord>[64] | string,大数组,encode,ArrayList<ProfileRecord>[64],string,yjsonStringEncodeLargeProfileArray,2.839392,6.344,6.344,raw/run-01/workload-14-yjson,logs/run-01-workload-14-yjson.log
1,14,2,stdx_json,大数组 | encode | ArrayList<ProfileRecord>[64] | string,大数组,encode,ArrayList<ProfileRecord>[64],string,stdxStringEncodeLargeProfileArray,2.486023,6.344,6.076,raw/run-01/workload-14-stdx_json,logs/run-01-workload-14-stdx_json.log
1,14,3,cjfast_json,大数组 | encode | ArrayList<ProfileRecord>[64] | string,大数组,encode,ArrayList<ProfileRecord>[64],string,cjfastStringEncodeLargeProfileArray,2.866968,6.076,6.076,raw/run-01/workload-14-cjfast_json,logs/run-01-workload-14-cjfast_json.log
1,15,1,yjson,字段顺序 | decode | Person | string,字段顺序,decode,Person,string,yjsonStringDecodeUnorderedPerson,5.619162,6.076,6.157,raw/run-01/workload-15-yjson,logs/run-01-workload-15-yjson.log
1,15,2,stdx_json,字段顺序 | decode | Person | string,字段顺序,decode,Person,string,stdxStringDecodeUnorderedPerson,2.670965,6.157,6.157,raw/run-01/workload-15-stdx_json,logs/run-01-workload-15-stdx_json.log
1,15,3,cjfast_json,字段顺序 | decode | Person | string,字段顺序,decode,Person,string,cjfastStringDecodeUnorderedPerson,3.316785,6.157,5.824,raw/run-01/workload-15-cjfast_json,logs/run-01-workload-15-cjfast_json.log
1,16,1,yjson,嵌套对象 | decode | ProfileBundle | bytes,嵌套对象,decode,ProfileBundle,bytes,yjsonBytesDecodeProfileBundle,3.801322,5.824,5.824,raw/run-01/workload-16-yjson,logs/run-01-workload-16-yjson.log
1,16,2,stdx_json,嵌套对象 | decode | ProfileBundle | bytes,嵌套对象,decode,ProfileBundle,bytes,stdxBytesDecodeProfileBundle,2.467225,5.824,5.438,raw/run-01/workload-16-stdx_json,logs/run-01-workload-16-stdx_json.log
1,16,3,cjfast_json,嵌套对象 | decode | ProfileBundle | bytes,嵌套对象,decode,ProfileBundle,bytes,cjfastBytesDecodeProfileBundle,3.268734,5.438,5.643,raw/run-01/workload-16-cjfast_json,logs/run-01-workload-16-cjfast_json.log
1,17,1,yjson,嵌套对象 | decode | ProfileBundle | string,嵌套对象,decode,ProfileBundle,string,yjsonStringDecodeProfileBundle,3.954737,5.643,5.643,raw/run-01/workload-17-yjson,logs/run-01-workload-17-yjson.log
1,17,2,stdx_json,嵌套对象 | decode | ProfileBundle | string,嵌套对象,decode,ProfileBundle,string,stdxStringDecodeProfileBundle,2.565068,5.643,5.271,raw/run-01/workload-17-stdx_json,logs/run-01-workload-17-stdx_json.log
1,17,3,cjfast_json,嵌套对象 | decode | ProfileBundle | string,嵌套对象,decode,ProfileBundle,string,cjfastStringDecodeProfileBundle,3.314025,5.271,5.570,raw/run-01/workload-17-cjfast_json,logs/run-01-workload-17-cjfast_json.log
1,18,1,yjson,嵌套对象 | encode | ProfileBundle | bytes,嵌套对象,encode,ProfileBundle,bytes,yjsonBytesEncodeProfileBundle,3.259273,5.570,5.570,raw/run-01/workload-18-yjson,logs/run-01-workload-18-yjson.log
