scenario,operation,payload,input_kind,rounds,yjson_median_ns,stdx_json_median_ns,cjfast_json_median_ns,yjson_over_stdx_ratio,yjson_over_cjfast_ratio,yjson_faster_pairs_vs_stdx,yjson_faster_pairs_vs_cjfast,yjson_cv_percent,stdx_json_cv_percent,cjfast_json_cv_percent,yjson_p95_ns,stdx_json_p95_ns,cjfast_json_p95_ns,status
Pretty JSON,decode,Person,string,11,7040.000,97312.000,16323.998,0.072131,0.423770,11,11,5.362772,2.545548,5.452806,7528.751,103540.267,18463.461,noisy
Pretty JSON,encode,Person,string,11,8235.914,83507.200,10929.781,0.098480,0.751916,11,11,6.178000,1.032583,10.344880,8373.297,85706.667,13019.396,noisy
基础对象,decode,Address,bytes,11,1323.801,35196.121,1974.055,0.037472,0.668820,11,11,2.551527,2.158128,0.522557,1349.993,36145.529,1985.360,stable
基础对象,decode,Address,string,11,1168.917,35381.126,2035.944,0.033056,0.572687,11,11,6.719152,0.174029,6.078909,1310.741,35506.103,2261.551,noisy
基础对象,decode,Person,bytes,11,9553.002,87936.000,16020.610,0.106050,0.604909,11,11,8.132357,7.950265,6.034004,11099.540,102705.618,17535.015,noisy
基础对象,decode,Person,string,11,10907.009,87523.556,15357.284,0.118678,0.661015,11,11,14.073775,4.963261,5.221540,12446.631,97482.995,17067.755,noisy
基础对象,encode,Address,bytes,11,1787.195,56274.824,2453.216,0.032118,0.728511,11,11,8.562955,0.747543,13.908212,2008.829,56539.654,3276.802,noisy
基础对象,encode,Address,string,11,1585.237,56473.011,2467.213,0.027908,0.597432,11,11,9.830042,0.496518,12.848294,1819.338,56726.276,3274.685,noisy
基础对象,encode,Person,bytes,11,3778.071,76117.333,9942.931,0.049487,0.379239,11,11,0.714552,0.897978,12.708638,3821.884,77285.333,12295.047,noisy
基础对象,encode,Person,string,11,4191.488,76600.889,10794.565,0.053675,0.389078,11,11,3.452349,0.821567,9.874962,4254.126,77848.000,12864.774,noisy
大 Map,decode,"HashMap<String, Int64>[64]",string,11,210261.333,589312.000,239181.395,0.348170,0.876602,11,11,4.058740,3.457265,4.099737,215296.000,631907.702,252696.291,stable
大 Map,encode,"HashMap<String, Int64>[64]",string,11,120093.538,259263.379,131072.000,0.465130,0.916575,11,11,1.582820,3.083653,0.912163,124058.316,268218.716,133301.701,stable
大数组,decode,ArrayList<ProfileRecord>[64],string,11,43797.333,971497.412,78023.111,0.045601,0.566193,11,11,5.251385,4.064938,3.733090,49559.365,1047948.564,78984.727,noisy
大数组,encode,ArrayList<ProfileRecord>[64],string,11,107814.400,480393.846,75520.000,0.237369,1.432483,11,0,3.107408,11.863228,0.555965,115766.044,560258.422,76407.771,noisy
字段顺序,decode,Person,string,11,6657.150,87652.571,17613.802,0.075385,0.384887,11,11,2.631230,0.866665,5.683030,6898.509,89147.733,18272.814,noisy
嵌套对象,decode,ProfileBundle,bytes,11,13960.924,93029.333,15619.273,0.149967,0.893827,11,11,2.620253,1.575838,5.389336,14122.861,96002.438,17382.336,noisy
嵌套对象,decode,ProfileBundle,string,11,13608.172,93209.600,15597.207,0.145411,0.848994,11,11,2.178274,0.639969,4.829309,14013.261,94114.133,17440.540,stable
嵌套对象,encode,ProfileBundle,bytes,11,14528.000,76826.566,12656.762,0.189323,1.144615,11,0,2.308433,0.741751,2.769376,15004.733,78080.568,12952.941,stable
嵌套对象,encode,ProfileBundle,string,11,15137.295,77193.846,12141.534,0.196049,1.237555,11,0,3.991127,0.531060,4.355414,15450.233,78084.063,13133.170,stable
数值边界,decode,UInt64Envelope,bytes,11,12051.744,80110.933,12328.727,0.150225,0.977402,11,10,2.056108,2.222811,4.000930,12251.329,83921.067,13488.476,stable
数值边界,decode,UInt64Envelope,string,11,11903.492,80183.273,11160.635,0.144902,1.087138,11,5,2.291344,2.714059,14.468725,12120.751,84885.291,12554.592,noisy
数值边界,encode,UInt64Envelope,bytes,11,9892.214,76320.000,9614.166,0.130168,1.024195,11,4,0.732624,3.502841,3.265709,10010.559,82741.321,10216.655,stable
数值边界,encode,UInt64Envelope,string,11,10327.843,75346.051,9729.788,0.137454,1.026900,11,3,2.741579,1.337264,3.611263,10594.956,77337.600,10392.405,stable
时间/大数,decode,TemporalStats,bytes,11,7444.101,96896.000,32118.389,0.076738,0.231896,11,11,0.767584,1.819075,4.826558,7532.668,100578.051,35276.699,stable
时间/大数,decode,TemporalStats,string,11,7258.922,96896.000,31121.762,0.074894,0.232397,11,11,0.789218,1.037339,4.857457,7321.804,98944.000,34583.188,stable
时间/大数,encode,TemporalStats,bytes,11,20753.903,81024.000,21760.000,0.255109,0.956012,11,11,0.766868,2.213877,1.728816,20939.487,84918.303,22180.491,stable
时间/大数,encode,TemporalStats,string,11,21163.055,81277.264,21824.000,0.260685,0.971261,11,10,2.153942,1.151444,1.186697,21570.187,82465.959,22259.048,stable
未知字段,decode,Person,string,11,8680.600,106188.800,17667.240,0.080538,0.491339,11,11,3.658544,2.121369,9.460088,9104.785,111264.623,19544.522,noisy
流式 I/O,decode,Person,stream,11,15510.284,91340.800,15696.879,0.170781,0.951512,11,9,4.865801,2.781587,5.654822,15800.889,92409.905,17540.927,noisy
流式 I/O,encode,Person,stream,11,6154.406,76726.857,9806.344,0.079843,0.635805,11,11,7.516398,13.458430,8.067393,7231.629,103622.929,11732.517,noisy
深层嵌套,decode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,11,76949.333,604160.000,96358.400,0.126197,0.799465,11,11,4.125181,5.984769,0.732067,78139.733,688408.143,97536.000,noisy
深层嵌套,encode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,11,98304.000,281681.748,74339.200,0.355759,1.320755,11,0,0.878903,7.888777,1.940625,99789.333,325499.717,75205.818,noisy
转义/Unicode,decode,String,bytes,11,2389.472,30037.333,1832.902,0.082914,1.271508,11,1,5.401256,2.411850,9.163023,2578.824,30581.183,2208.938,noisy
转义/Unicode,decode,String,string,11,2545.233,28828.061,2356.750,0.087732,1.076191,11,2,1.003632,1.914909,11.285028,2592.553,29990.012,3084.406,noisy
转义/Unicode,encode,String,bytes,11,1505.230,56192.000,2466.590,0.026564,0.554355,11,11,3.320951,2.409015,11.396515,1522.897,58675.982,3105.716,noisy
转义/Unicode,encode,String,string,11,1455.179,56210.286,3285.067,0.025710,0.446673,11,11,10.065403,17.875386,7.969293,1827.762,78125.904,3581.568,noisy
