round,workload_position,library_position,library,workload,scenario,operation,payload,input_kind,source_case,elapsed_seconds,load1_before,load1_after,report_path,log_path
1,1,1,yjson,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,yjsonStringDecodePrettyPerson,25.446428,33.537,23.264,raw/run-01/workload-01-yjson,logs/run-01-workload-01-yjson.log
1,1,2,stdx_json,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,stdxStringDecodePrettyPerson,2.581996,23.264,22.122,raw/run-01/workload-01-stdx_json,logs/run-01-workload-01-stdx_json.log
1,1,3,cjfast_json,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,cjfastStringDecodePrettyPerson,33.590857,22.122,14.701,raw/run-01/workload-01-cjfast_json,logs/run-01-workload-01-cjfast_json.log
1,2,1,yjson,Pretty JSON | encode | Person | string,Pretty JSON,encode,Person,string,yjsonStringEncodePrettyPerson,3.005954,14.701,13.764,raw/run-01/workload-02-yjson,logs/run-01-workload-02-yjson.log
1,2,2,stdx_json,Pretty JSON | encode | Person | string,Pretty JSON,encode,Person,string,stdxStringEncodePrettyPerson,2.342150,13.764,13.764,raw/run-01/workload-02-stdx_json,logs/run-01-workload-02-stdx_json.log
1,2,3,cjfast_json,Pretty JSON | encode | Person | string,Pretty JSON,encode,Person,string,cjfastStringEncodePrettyPerson,2.754949,13.764,12.982,raw/run-01/workload-02-cjfast_json,logs/run-01-workload-02-cjfast_json.log
1,3,1,yjson,基础对象 | decode | Address | bytes,基础对象,decode,Address,bytes,yjsonBytesDecodeAddress,3.547391,12.982,12.663,raw/run-01/workload-03-yjson,logs/run-01-workload-03-yjson.log
1,3,2,stdx_json,基础对象 | decode | Address | bytes,基础对象,decode,Address,bytes,stdxBytesDecodeAddress,2.279402,12.663,12.663,raw/run-01/workload-03-stdx_json,logs/run-01-workload-03-stdx_json.log
1,3,3,cjfast_json,基础对象 | decode | Address | bytes,基础对象,decode,Address,bytes,cjfastBytesDecodeAddress,2.470561,12.663,12.663,raw/run-01/workload-03-cjfast_json,logs/run-01-workload-03-cjfast_json.log
1,4,1,yjson,基础对象 | decode | Address | string,基础对象,decode,Address,string,yjsonStringDecodeAddress,3.323216,12.663,11.969,raw/run-01/workload-04-yjson,logs/run-01-workload-04-yjson.log
1,4,2,stdx_json,基础对象 | decode | Address | string,基础对象,decode,Address,string,stdxStringDecodeAddress,2.544113,11.969,11.250,raw/run-01/workload-04-stdx_json,logs/run-01-workload-04-stdx_json.log
1,4,3,cjfast_json,基础对象 | decode | Address | string,基础对象,decode,Address,string,cjfastStringDecodeAddress,2.651881,11.250,11.250,raw/run-01/workload-04-cjfast_json,logs/run-01-workload-04-cjfast_json.log
1,5,1,yjson,基础对象 | decode | Person | bytes,基础对象,decode,Person,bytes,yjsonBytesDecodePerson,7.684654,11.250,10.616,raw/run-01/workload-05-yjson,logs/run-01-workload-05-yjson.log
1,5,2,stdx_json,基础对象 | decode | Person | bytes,基础对象,decode,Person,bytes,stdxBytesDecodePerson,2.603790,10.616,10.616,raw/run-01/workload-05-stdx_json,logs/run-01-workload-05-stdx_json.log
1,5,3,cjfast_json,基础对象 | decode | Person | bytes,基础对象,decode,Person,bytes,cjfastBytesDecodePerson,3.064362,10.616,10.006,raw/run-01/workload-05-cjfast_json,logs/run-01-workload-05-cjfast_json.log
1,6,1,yjson,基础对象 | decode | Person | string,基础对象,decode,Person,string,yjsonStringDecodePerson,7.424622,10.006,9.605,raw/run-01/workload-06-yjson,logs/run-01-workload-06-yjson.log
1,6,2,stdx_json,基础对象 | decode | Person | string,基础对象,decode,Person,string,stdxStringDecodePerson,2.789383,9.605,9.156,raw/run-01/workload-06-stdx_json,logs/run-01-workload-06-stdx_json.log
1,6,3,cjfast_json,基础对象 | decode | Person | string,基础对象,decode,Person,string,cjfastStringDecodePerson,3.406729,9.156,9.304,raw/run-01/workload-06-cjfast_json,logs/run-01-workload-06-cjfast_json.log
1,7,1,yjson,基础对象 | encode | Address | bytes,基础对象,encode,Address,bytes,yjsonBytesEncodeAddress,3.015918,9.304,9.304,raw/run-01/workload-07-yjson,logs/run-01-workload-07-yjson.log
1,7,2,stdx_json,基础对象 | encode | Address | bytes,基础对象,encode,Address,bytes,stdxBytesEncodeAddress,2.141001,9.304,8.719,raw/run-01/workload-07-stdx_json,logs/run-01-workload-07-stdx_json.log
1,7,3,cjfast_json,基础对象 | encode | Address | bytes,基础对象,encode,Address,bytes,cjfastBytesEncodeAddress,2.837094,8.719,8.719,raw/run-01/workload-07-cjfast_json,logs/run-01-workload-07-cjfast_json.log
1,8,1,yjson,基础对象 | encode | Address | string,基础对象,encode,Address,string,yjsonStringEncodeAddress,3.017273,8.719,8.341,raw/run-01/workload-08-yjson,logs/run-01-workload-08-yjson.log
1,8,2,stdx_json,基础对象 | encode | Address | string,基础对象,encode,Address,string,stdxStringEncodeAddress,2.255814,8.341,8.341,raw/run-01/workload-08-stdx_json,logs/run-01-workload-08-stdx_json.log
1,8,3,cjfast_json,基础对象 | encode | Address | string,基础对象,encode,Address,string,cjfastStringEncodeAddress,2.763217,8.341,7.913,raw/run-01/workload-08-cjfast_json,logs/run-01-workload-08-cjfast_json.log
1,9,1,yjson,基础对象 | encode | Person | bytes,基础对象,encode,Person,bytes,yjsonBytesEncodePerson,3.171007,7.913,7.913,raw/run-01/workload-09-yjson,logs/run-01-workload-09-yjson.log
1,9,2,stdx_json,基础对象 | encode | Person | bytes,基础对象,encode,Person,bytes,stdxBytesEncodePerson,2.473354,7.913,7.600,raw/run-01/workload-09-stdx_json,logs/run-01-workload-09-stdx_json.log
1,9,3,cjfast_json,基础对象 | encode | Person | bytes,基础对象,encode,Person,bytes,cjfastBytesEncodePerson,3.023646,7.600,7.712,raw/run-01/workload-09-cjfast_json,logs/run-01-workload-09-cjfast_json.log
1,10,1,yjson,基础对象 | encode | Person | string,基础对象,encode,Person,string,yjsonStringEncodePerson,2.877635,7.712,7.712,raw/run-01/workload-10-yjson,logs/run-01-workload-10-yjson.log
1,10,2,stdx_json,基础对象 | encode | Person | string,基础对象,encode,Person,string,stdxStringEncodePerson,2.052230,7.712,7.655,raw/run-01/workload-10-stdx_json,logs/run-01-workload-10-stdx_json.log
1,10,3,cjfast_json,基础对象 | encode | Person | string,基础对象,encode,Person,string,cjfastStringEncodePerson,2.800859,7.655,7.655,raw/run-01/workload-10-cjfast_json,logs/run-01-workload-10-cjfast_json.log
1,11,1,yjson,"大 Map | decode | HashMap<String, Int64>[64] | string",大 Map,decode,"HashMap<String, Int64>[64]",string,yjsonStringDecodeLargeInt64Map,3.429839,7.655,7.362,raw/run-01/workload-11-yjson,logs/run-01-workload-11-yjson.log
