scenario,operation,payload,input_kind,rounds,yjson_median_ns,stdx_json_median_ns,cjfast_json_median_ns,yjson_over_stdx_ratio,yjson_over_cjfast_ratio,yjson_faster_pairs_vs_stdx,yjson_faster_pairs_vs_cjfast,yjson_cv_percent,stdx_json_cv_percent,cjfast_json_cv_percent,yjson_p95_ns,stdx_json_p95_ns,cjfast_json_p95_ns,status
Pretty JSON,decode,Person,string,11,7631.700,97343.247,17376.529,0.077366,0.437490,11,11,4.663181,2.504928,5.192057,8175.526,103546.667,18619.018,noisy
Pretty JSON,encode,Person,string,11,7424.000,84147.786,10867.942,0.088344,0.689466,11,11,1.211076,2.066506,12.861842,7553.085,87808.000,12852.388,noisy
基础对象,decode,Address,bytes,11,1428.601,35328.000,1982.386,0.040438,0.714055,11,11,3.902575,0.440740,0.838818,1500.850,35560.258,2007.327,stable
基础对象,decode,Address,string,11,1395.946,35560.000,2041.468,0.039381,0.680515,11,11,5.399447,0.278439,4.162917,1424.455,35704.602,2260.453,noisy
基础对象,decode,Person,bytes,11,10449.815,89717.703,15295.276,0.114694,0.657039,11,11,8.741247,2.567131,1.791822,11341.807,92343.467,15888.408,noisy
基础对象,decode,Person,string,11,9963.493,87893.333,15919.056,0.110131,0.595789,11,11,4.643993,2.156522,4.817709,10517.969,92270.652,17312.857,stable
基础对象,encode,Address,bytes,11,1259.592,56435.692,2460.942,0.022436,0.508997,11,11,3.726880,0.718114,8.254707,1292.131,56632.620,3002.271,noisy
基础对象,encode,Address,string,11,1454.407,56640.270,2468.540,0.025693,0.577680,11,11,4.357736,0.339378,8.916724,1500.165,56962.399,3025.523,noisy
基础对象,encode,Person,bytes,11,3357.330,76544.000,9785.983,0.044145,0.343299,11,11,3.214093,0.704977,10.652963,3598.848,77308.343,11411.331,noisy
基础对象,encode,Person,string,11,3848.806,76678.400,10209.290,0.050188,0.383789,11,11,1.000969,0.327243,7.609792,3899.457,77232.762,12084.380,noisy
大 Map,decode,"HashMap<String, Int64>[64]",string,11,206441.739,591616.000,228480.000,0.342387,0.893021,11,10,3.359923,1.502682,18.411552,214408.157,613504.000,254835.525,noisy
大 Map,encode,"HashMap<String, Int64>[64]",string,11,122424.264,258218.667,130503.111,0.479671,0.936907,11,10,3.168739,2.013161,1.686246,129810.580,264652.800,133504.978,stable
大数组,decode,ArrayList<ProfileRecord>[64],string,11,49664.000,963072.000,78336.000,0.051242,0.632829,11,11,2.570693,3.748717,3.796517,52081.778,1042100.817,86196.014,stable
大数组,encode,ArrayList<ProfileRecord>[64],string,11,46080.000,449230.629,76117.333,0.102575,0.608033,11,11,0.528711,11.734784,1.103201,46567.914,553996.551,77629.784,noisy
字段顺序,decode,Person,string,11,7525.367,87942.737,17541.825,0.085321,0.429725,11,11,6.616134,0.490104,5.493038,8094.361,88765.333,18379.837,noisy
嵌套对象,decode,ProfileBundle,bytes,11,14544.331,93483.886,15586.485,0.154246,0.930243,11,11,5.108322,0.913894,5.369716,15103.014,94743.968,17479.553,noisy
嵌套对象,decode,ProfileBundle,string,11,14135.273,93849.600,15792.240,0.150543,0.895757,11,11,2.034273,0.498305,4.982769,14430.657,94378.667,17762.438,stable
嵌套对象,encode,ProfileBundle,bytes,11,10344.431,77258.667,12545.571,0.133319,0.816425,11,11,2.727913,0.693655,3.887688,10483.548,78045.867,12954.128,stable
嵌套对象,encode,ProfileBundle,string,11,10766.641,77565.538,12337.800,0.139239,0.844685,11,11,2.132813,0.679553,4.592366,10871.993,78337.390,13181.460,stable
数值边界,decode,UInt64Envelope,bytes,11,12501.850,80280.381,12132.480,0.149428,1.029042,11,3,2.831995,3.014209,4.967347,12693.451,85393.067,13387.538,stable
