round,case,mode,median_ns,report_sha256,report_path,log_path
1,writeNumericArray,pure,7251000.000000,8df1c5c4f14d9ed0d06dd5ca8dbbbb16cda14f66e524520869465dd5eb2763ec,raw/run-01/writeNumericArray-pure,logs/run-01-writeNumericArray-pure.log
1,writeNumericArray,native,7233232.000000,0a2bd66e19922ae63d74135b98dd14456bf2e24eb52e0e8afe486162d64b9cb8,raw/run-01/writeNumericArray-native,logs/run-01-writeNumericArray-native.log
1,writeNumericBytes,pure,2388399.033404,161ed5fb9c9c1a2c5334c0a34a8c421986a0d5f163d9b081824db6ed3fbe1109,raw/run-01/writeNumericBytes-pure,logs/run-01-writeNumericBytes-pure.log
1,writeNumericBytes,native,559224.289157,958b61a56fc524a405561776998a896c240a37e792d926431aa9833c92c79422,raw/run-01/writeNumericBytes-native,logs/run-01-writeNumericBytes-native.log
1,readNumericArray,pure,2759050.378378,509602c0955099c58aa14389423afa3590a1f2362221ae7b0671ffca6dccd9b9,raw/run-01/readNumericArray-pure,logs/run-01-readNumericArray-pure.log
1,readNumericArray,native,2702123.885714,2ac1f742d394bda841abbe040ccec0caaf9ca6ceb71cc0f84ed4232cbdc67f38,raw/run-01/readNumericArray-native,logs/run-01-readNumericArray-native.log
1,readNumericDocument,pure,2084226.566416,5cc21d0da1e4d43eded83da28e1d92c14ca5b1f4c0cbec71ac6642ec9e2a7552,raw/run-01/readNumericDocument-pure,logs/run-01-readNumericDocument-pure.log
1,readNumericDocument,native,1211236.309256,eea4a12b8955a3deea0680d49636079e4a6ca4fd049c6cad9f1e3e4cc1e279c2,raw/run-01/readNumericDocument-native,logs/run-01-readNumericDocument-native.log
1,writeEscapedStrings,pure,1656327.641791,dfeed78e1a9c759f17389e5587448360382d7045ac23eb9601767998775f84ef,raw/run-01/writeEscapedStrings-pure,logs/run-01-writeEscapedStrings-pure.log
1,writeEscapedStrings,native,1583603.740845,af623c9dbb7b0a082341a6b819c1073fddbac376e3630371d14e1e3aeead40e3,raw/run-01/writeEscapedStrings-native,logs/run-01-writeEscapedStrings-native.log
1,writeEscapedBytes,pure,1363968.000000,f11ce58260ed3b10fc096ef04530fceda819f1b0ad2b9af6867c1a7cb175cc94,raw/run-01/writeEscapedBytes-pure,logs/run-01-writeEscapedBytes-pure.log
1,writeEscapedBytes,native,1456756.195556,3b80e031abb246e5ca517c2be002ac6649e3abdf41f8e0153616e4cecb48e760,raw/run-01/writeEscapedBytes-native,logs/run-01-writeEscapedBytes-native.log
1,writePlainStrings,pure,1222565.859155,e3fcc659d15b34af655ed9880bf24c040185b53a216147f4f7c8a170b73aff9f,raw/run-01/writePlainStrings-pure,logs/run-01-writePlainStrings-pure.log
